TOTAL,Gen-Ed Humanity,3,PRE,CO,S/U
123101,PARAGRAP WRITING,3,,,
123102,LANG REP WRIT,3,,,
123103,PROPOSAL WRITING,3,,,
123104,UNIV THAI READING,3,,,
123105,THAI WRIT WORK,3,,,
201105,CU SMART BUD GRAD,3,,,
201211,MEDITAT LIFE DEV,3,,,
201212,SP ETHICS,3,,,
296110,21C HU ECO GLOBAL,3,,,Yes
296112,21C LIFE SKILLS,3,,,Yes
2110215,PROG METH I (CANNOT COUNT FOR ENG!),3,,,
2200112,PARAGRAPH WRITING,3,,,
2200183,THAI CIV,3,,,
2200185,SURV ART ARCH THAI,3,,,
2200201,ACAD REPORT WRIT,3,,,
2200202,LANG REP WRIT,3,,,
2200203,UNIV THAI READING,3,,,
2200222,VERN ARCH TH SOC,3,,,
2200223,PNTG TH SOC,3,,,
2200226,FOLK MUS TH SOC,3,,,
2200227,TH CL MUS DRAM,3,,,
2200301,ASEAN COUNTRIES,3,,,
2200330,TIPITAKA/LIFE,3,,,
2200387,ARCHAEO THAI,3,,,
2200389,ICONOGRAPHY,3,,,
2200390,FOR CULT TH ART,3,,,
2200391,CONT ART TH SEA,3,,,
2200392,ANC ART SIAM SEA,3,,,
2200393,LANG/CULT ART,3,,,
2200394,CUST/FEST TH SOC,3,,,
2200395,ROY TRAD/CERE,3,,,
2200396,REL RIT TH SOC,3,,,
2201111,USE THAI LANG,3,,,
2201394,FOLKLORE,3,,,
2204180,CIVILIZATION,3,,,
2204184,MAN MAKING CIVIL,3,,,
2204365,ART HIST THAILAND,3,,,
2206101,RES ACAD REP WRIT,3,,,
2206248,BSC RES SKILLS,3,,,
2206249,SYS THINK HUM,3,,,
2206250,INFO REC MGT,3,,,
2207103,PHILOS LOGIC,3,,,
2207143,REASONING,3,,,
2207165,REL CONTEMP ISSUES,3,,,
2207201,HIST WEST PHILOS,3,,,
2207203,PHILOS/FILMS,3,,,
2207341,SYMBOLIC LOGIC,3,,,
2207361,AESTHETICS,3,,,
2207363,ETHICS,3,,,
2207365,POLITICAL PHILOS,3,,,
2207371,PHILOS LITERATURE,3,,,
2207375,INDIAN PHILOS,3,,,
2207376,BUDDHIST PHILOS,3,,,
2207384,GERMAN PHILOS,3,,,
2207385,AMERICAN PHILOS,3,,,
2207386,BRITISH PHILOS,3,,,
2207387,PHILOS WOMEN,3,,,
2207389,BUS ETHICS,3,,,
2207467,PHILOS LANG,3,,,
2207472,JAPANESE PHILOS,3,,,
2207474,CHINESE PHILOS,3,,,
2207478,SP TOP ETHICS,3,,,
2209212,HUMAN LANG,3,,,
2209341,LANG TH SOC,3,,,
2209373,LANG CULTURE,3,,,
2209375,LANG ASEAN PLUS,3,,,
2210210,LIT/HIST,3,,,
2210214,LIT/ENVIRON,3,,,
2210215,LIT/WOMEN,3,,,
2210216,MAG REAL LIT,3,,,
2210217,CONTEM FICT,3,,,
2210218,REL/SPIRIT LIT,3,,,
2210219,MYSTERY FICTION,3,,,
2210221,CRIME FICT/FILM,3,,,
2210235,LIT FILM ADAPT,3,,,
2210239,LIT/DISABILITY,3,,,
2210301,FUND LIT STUD,3,,,
2210313,HUMOUR LIT,3,,,
2210314,JUV LIT,3,,,
2210315,LIT/ETHN IDENTITY,3,,,
2210316,LIT/SOC-POL CONS,3,,,
2210322,LIT/VISUAL ARTS,3,,,
2210323,LIT/HUM RIGHTS,3,,,
2210325,LIT TRANS,3,,,
2210335,INTRO CULT STUD,3,,,
2210401,CONTEM SHORT STO,3,,,
2210420,MAJOR WRITER WORK,3,,,
2210423,LIT/PSYCHO,3,,,
2210425,LIT/RELIGION,3,,,
2221433,BUDDHIST TEACHING,3,,,
2221485,BUDDHIST CIV,3,,,
2222111,CHIN COMM I,3,,,
2223243,JAPAN TODAY,3,,,
2226001,INTRO VIET CULTURE,3,,,
2231011,FUNDAMENTAL FR I,3,,,
2231255,FR LIT WRKS,3,,,
2232241,GER CH JU LIT,3,,,
2232253,GER SPK CNTR TODAY,3,,,
2234482,INTRO ITAL CINEMA,3,,,
2235320,CONTEMP PORT BRAZ,3,,,
2236103,RUS LANG CULT,3,,,
2236204,RUS LIT WORKS,3,,,
2244151,INTRO CAMBO CULT,3,,,
2296111,21C CREAT LRNG SPACE,3,,,Yes
2296200,21C HUMAN LANG,3,,,Yes
2296225,21C LIT FILM,3,,,Yes
2296313,21C HUM LIT,3,,,Yes
2296314,21C JUV LIT,3,,,Yes
2296315,21C LIT/ETHN IDEN,3,,,Yes
2296352,21C BUDDHISTS,3,,,Yes
2501191,HIST ART ARCH,3,,,
2501292,INTRO HSE DSGN,3,,,
2501295,INTRO DESIGN,3,,,
2501296,THAI ARCH HERITAGE,3,,,
2501297,ENJOY ARCH SKETCH,3,,,
2501298,UNDERST ARCH,3,,,
2501299,BUDDHIST ART/ARCH,3,,,
2502291,DESIGN EVERYDAY,3,,,
2502292,CULINARY DESIGN,3,,,
2502330,DSGN TH CULT HER,3,,,
2502378,JWL APPRECIAT,3,,,
2502379,APPRE CER,3,,,
2502393,CONT JP DSGN,3,,,
2502430,DSGN ENTREPRN,3,,,
2504102,HEALG ART/LDSCP,3,,,
2541151,SPARK CREAT,3,,,
2541152,C/C PROB SOLV,3,,,
2541154,COLOR AESTHETICS,3,,,
2541155,VIS CULT,3,,,
2541156,ARCH ENV FILM,3,,,
2541157,PERSPEC EU ARCH,3,,,
2541158,LAND/LANDSCAPE,3,,,
2541159,UNDST BSC IA DSGN,3,,,
2541162,POSTMOD PHOTO,3,,,
2541163,FML ANAL/PRES ARCH,3,,,
2541168,DSGN ASIAN PERSP,3,,,
2541169,HIST ANIMATION,3,,,
2541171,CR ECON DSGN,3,,,
2541176,JP DSGN CON,3,,,
2542001,ART DSGN FLD,3,,,
2542002,COMM DSGN PROJ,3,,,
2542003,DSGN THNK INNV,3,,,
2542204,ITALIAN DSGN CULT,3,,,
2701272,-,2,,,
2701288,DHAMMA/SELF,3,,,
2709106,-,2,,,
2712110,-,2,,,
2722272,DHAMMAVIDYA,2,,,
2722288,DHAMMA/SELF,3,,,
2736106,ART APPRECIATION,2,,,
2736210,AES APP,2,,,
2737110,MUS APPRECIATION,2,,,
2746105,LOC TALES/MYTHS,3,,,
2800210,ART APPRE COMM,2,,,
3000103,MEDICAL CHEMISTRY,2,,,
3500111,INTRO FINE APP ART,3,,,
3501120,HIST WEST ART I,3,,,
3501214,THAI ARTS I,3,,,
3501217,EAR MOD ART,3,,,
3501222,HIST ORNTAL ART I,3,,,
3501456,CREATIVE THINKING,3,,,
3502222,HIST CREAT ARTS I,3,,,
3502271,HIST FASHION,3,,,
3502272,HIST GRAPH DSGN,3,,,
3503101,CL MUS SCRN,3,,,
3503111,INTRO CLASSIC MUS,3,,,
3503120,HIST THAI MUS I,3,,,
