TOTAL,Gen-Ed Multi,3,PRE,CO,S/U
201101,GEN GEMS JEWELRY,3,,,
201102,THAI WISDOM,3,,,
201103,OUR CU,3,,,
201104,STRESS MANAGEMENT,3,,,
201106,ART SCI FIND HAP,3,,,
201107,LRN STUD ACT,3,,,
201108,FAMILY RELATIONS,3,,,
201109,INTRO EU INTEGRAT,3,,,
201110,SICHANG STUDY,3,,,
201111,WISDOM LIVING,3,,,
201113,NAT/CULT HERITGE,3,,,
201117,ART RATANAKOSIN,3,,,
201118,DEV CRIT THINK,3,,,
201119,TEAMWORK,3,,,
201120,INTEG KNOW COMM,3,,,
201121,LIFE REFL FILM,3,,,
201122,MGT PUB DISASTER,3,,,
201123,CULT TRAD TH LIFE,3,,,
201124,INTRO ACCOM TOUR,3,,,
201125,MGT DIFF CULT,3,,,
201126,WORK PROD IMP,3,,,
201127,QUAL WORK MGT,3,,,
201128,HAPP SUSTAIN DEV,3,,,
201129,UNDERWATER WORLD,3,,,
201131,THAI COAST COM DEV,3,,,
201141,COAST ENV,3,,,
201151,OUR ENVIRONMENT,3,,,
201153,WASTE MANAGEMENT,3,,,
201154,URB GLOB WRMG,3,,,
201200,STUD PROC THAI SOC,3,,,
201201,IDEAL GRADUATE I,3,,,
201202,IDEAL GRADUATE II,3,,,
201203,IDEAL GRADUATE III,3,,,
201204,IDEAL GRADUATE IV,3,,,
201205,IDEAL GRADUATE V,3,,,
201206,THAI IDEAL GRAD,3,,,
201207,SELF EMPOWERMENT,3,,,
201208,ART FOR ALL,3,,,
201209,VALUE URB ENV,3,,,
201210,MAT MGT GREEN,3,,,
201213,AMPHAWA STUDY,3,,,
201220,COM DEV SUFF ECON,3,,,
201230,MAN/PEACE,3,,,
201231,URB COMM STUD,3,,,
201232,MULTI STUD RUR DEV,3,,,
201233,RURAL STUDY,3,,,
201234,LOC GLOB ISS,3,,,
201251,P2 CONTROL,3,,,
201252,ALT ENGY CONS,3,,,
201253,-,3,,,
201254,GLOB WARM ADAPT,3,,,
201255,ICT STRATEGIC MGT,3,,,
201256,LIV DIGI WORLD,3,,,
201270,NAT SECURITY DEV,3,,,
201281,TEAM/ORG DEV,3,,,
201282,NAT SKB JOUR,3,,,
201283,BEAUTIFUL DEATH,3,,,
201284,JWL DES ENTRE,3,,,
201285,ECON SOC PLANT,3,,,
201286,LIFE DESIGN,3,,,
295100,21C EXPL BME WORLD,3,,,Yes
295101,21C INTRO DATA SCI,3,,,Yes
295102,21C AGRO WASTES MONEY,3,,,Yes
295104,21C GUARD WATER,3,,,Yes
295105,21C PET LOVERS,3,,,Yes
295106,21C WELL LIFE EXT,3,,,Yes
295107,21C PATIENT SAFETY,3,,,Yes
295125,21C DESIGN THINK INNO,3,,,Yes
2101251,CE PROF CONDUCT,3,,,
2104181,HF ERGO DAILY LIFE,3,,,
2105389,INTRO CLEANER TECH,3,,,
2209202,DIM SP SND,3,,,
2305100,NATIONAL RESOURCES,3,,,
2305104,MAN/NATURE,3,,,
2305106,PLANTS/HUMANITY,3,,,
2502390,INTRO PACK DESIGN,3,,,
2503216,AMPHAWA STUDIES,3,,,
2504101,LA APPRECIATION,3,,,
2506393,INTRO ACCOM TOUR,3,,,
2506504,TRAD TAI SET HSG,3,,,
2506691,RISK MGT RE PROJ,3,,,
2602670,ANL TECH LOGIS MGT,3,,,
2602679,SIM LOG MGT,3,,,
2750178,LLL,3,,,
3000106,DR/SOC,2,,,
3000110,CULT TRAD TH LIFE,3,,,
3000257,CRIT THK ETH/LAW,2,,,
3000281,HUMAN LIFE,1,,,
3000396,HLTH PROM,1,,,
3018102,SEXUALITY ED,3,,,
3200107,FD HLTH LIFE QUAL,3,,,
3300100,HEALTH CONS PROT,3,,,
3301151,SELF CARE,3,,,
3303100,Q LIFE,3,,,
3303191,CHEM DRUG DAILY,3,,,
3305101,FOOD FOR HEALTH,3,,,
3800252,LEADER PER DEV,3,,,
3800309,PSY CONSERV NATURE,3,,,
3900204,REC BUS TOUR,3,,,
3914101,REC QUAL LIFE DEV,3,,,
4000101,AGR PROD DEV CONS,3,,,
5695101,DES DEV PROD PROT,3,,,
5695102,PROF COMM SKL INNO,3,,,
