TOTAL,Gen-Ed Social,3,PRE,CO,S/U
201112,HUMAN COMM,3,,,
201170,MILITARY SCIENCE,3,,,
201171,EFFECT CAREER MGT,3,,,
201172,SELF/CAREER MGT,3,,,
201173,RETHINK JUST INNO,3,,,
201310,ART ADMIN,3,,,
201311,LAW FAMILY LIFE,3,,,
294455,21C PROF PRESENTATION,3,,,Yes
294456,21C DESIGNING LIFE,3,,,Yes
2400104,POL GOVT THAI,3,,,
2403183,SOCIETY & CULTURE,3,,,
2403184,SOC DIVER JUS THAI,3,,,
2403185,JUV DEL,3,,,
2403227,KINSHIP SOC ORG,3,,,
2403284,CROSS-CULT MGT,3,,,
2403471,ANTH RSRCH METH,3,,,
2404300,IT/SOC,3,,,
2404301,SEL TOP PAZ DIGI,3,,,
2541160,CREAT URB LIVING,3,,,
2601101,ACCOUNTING I,3,,,
2601111,BUS ACCTG,3,,,
2601117,BUS ACCTG,3,,,
2602121,INTRO BUSINESS,3,,,
2603244,GEN PRIN INSURANCE,3,,,
2604362,PERSONAL FINANCE,3,,,
2604364,FIN COMM,3,,,
2605311,PRIN MKTG,3,,,
2701178,-,2,,,
2701302,ED/SOCIETY,3,,,
2722178,THAI CULTURE,2,,,
2722221,TH CULT GLOB,3,,,
2746104,KHAM PHOR SORN,3,,,
2746292,EDU SUS DEV,3,,,
2746302,ED/SOCIETY,3,,,
2747406,LEAD ED PRO 21STCE,3,,,
2800211,THAI CULT/COMM,3,,,
2800212,HUMAN COMM,3,,,
2800218,VIS MED STUD,3,,,
2800219,CROSS CULT COMM,3,,,
2800221,INTL COMM ETI PRO,3,,,
2800314,ART PUB SPKG,3,,,
2801321,NEWS INFO/SOC,3,,,
2894100,FASN COMM,3,,,
2900151,FOUNDATION ECON,3,,,
2900152,INTRO THAI ECON,3,,,
2900154,ECON INNO,3,,,
2952111,SUFF BUDD ECON,3,,,
2952319,ASEAN ECON,3,,,
3401102,TAX LAW DLY LIFE,3,,,
3401105,LAW ENTREPRENEUR,3,,,
3401124,INTRO IP LAW,3,,,
3401501,TAX LAW DLY LIFE,3,,,
3402103,INTRO CRIM LAW,3,,,
3404101,ENV LAW SOC,3,,,
3404103,LAW LAND MGT,3,,,
3404107,ENVI LAW,3,,,
3404109,LAW COMP TECH,3,,,
3404112,WTO/FTA TH INT BUS,3,,,
3404113,INTRO WTO LAW,3,,,
3404115,INTRO PUBLIC LAW,3,,,
3404117,INTRO TO LAW,3,,,
3404122,LEGAL LOGICS,2,,,
3404123,LEGAL HISTORY,2,,,
3404124,LAW SOCIETY,2,,,
3404131,FREE ASM LAW,3,,,
3404201,LAW ACCTG,2,,,
3404202,LAW ECON ANAL,2,,,
3404220,CONSTIT POL INSTIT,3,,,
3404405,LEGAL ETHICS,2,,,
3404450,UNDSTG CHIN,3,,,
3404500,ENV LAW SOC,3,,,
3405102,INTRO INTL LAW,3,,,
3494101,21C LAW HUM RES MGT,3,,,Yes
3800101,GENERAL PSYCHOLOGY,3,,,
3800105,INTRO PSY,3,,,
3800202,PSY LIFE WORK,3,,,
3800209,-,2,,,
3800217,PSY SELF MANAGE,3,,,
3800250,HUMAN RELATIONS,3,,,
3800251,MENTAL HEALTH,3,,,
3800351,PSY THINK CREAT,3,,,
3800352,PEACE PSY CON RES,3,,,
3802205,MENTAL HEALTH,3,,,
3802208,MENTAL HEALTH,3,,,
4000203,INTRO SUFF ECON,3,,,
4000204,INTRO AGRO FOOD CH,3,,,
4000206,HIST THAI AGR,3,,,
4000208,INTRO AGR ECON,3,,,
4000209,INTRO AGR RES MGT,3,,,
5100101,POP/DEV,3,,,
